mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,experiment,fa_alpha,cofa_alpha,percentage
14.024076461791992,19.4593563079834,-5.435279369354248,1.7957812547683716,2.724508047103882,2.83140230178833,67.0,9928.0,boost,0.0,,0.006703351675837919
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,boost,1.0,,0.04146586345381526
13.947168350219727,15.33619499206543,-1.3890275955200195,1.637496829032898,2.689528703689575,2.6496264934539795,3218.0,6553.0,boost,2.0,,0.329341930201617
13.8573637008667,14.130377769470215,-0.2730150520801544,1.6660473346710205,2.7022364139556885,2.7291009426116943,5014.0,4614.0,boost,5.0,,0.5207727461570419
13.839895248413086,13.989985466003418,-0.15009137988090515,1.6633048057556152,2.6883273124694824,2.7425878047943115,5156.0,4456.0,boost,10.0,,0.5364128173116938
13.831624984741211,13.926047325134277,-0.0944240391254425,1.6608420610427856,2.6703646183013916,2.741903305053711,5229.0,4374.0,boost,100.0,,0.5445173383317713
13.981472969055176,17.561538696289062,-3.580063581466675,1.6742143630981445,2.685192346572876,2.6653003692626953,413.0,9547.0,surpress,,1.0,0.04146586345381526
14.63498306274414,17.555273056030273,-2.9202897548675537,1.7735316753387451,2.6326236724853516,2.6195292472839355,866.0,9082.0,surpress,,0.5,0.08705267390430237
14.811366081237793,17.460603713989258,-2.649238348007202,1.8179224729537964,2.562912702560425,2.5650618076324463,1092.0,8850.0,surpress,,0.2,0.10983705491852747
14.841087341308594,17.440122604370117,-2.59903621673584,1.825139045715332,2.550021171569824,2.5553982257843018,1156.0,8786.0,surpress,,0.1,0.11627439147052906
14.8621187210083,17.425172805786133,-2.563053846359253,1.8301044702529907,2.541395664215088,2.549060583114624,1205.0,8736.0,surpress,,0.0,0.12121516950005029
14.756133079528809,19.079849243164062,-4.323715686798096,1.8404937982559204,2.7581772804260254,2.8539512157440186,215.0,9771.0,combined,0.0,0.5,0.02153014219907871
14.63498306274414,17.555273056030273,-2.9202897548675537,1.7735316753387451,2.6326236724853516,2.6195292472839355,866.0,9082.0,combined,1.0,0.5,0.08705267390430237
