component,layer,position,mem,cp,diff,mem_perc,cp_perc,diff_perc,mem_std,cp_std,mem_idx,cp_idx
resid_post,0,0,1.7007261703838594e-05,1.611719017091673e-05,8.900712487047713e-07,-99.4649887084961,-91.41858673095703,-99.9702377319336,6.812012998125283e-06,6.921050044184085e-06,27115.384765625,28492.744140625
resid_post,0,1,0.0023188849445432425,4.621576954377815e-05,0.0022726692259311676,-27.053293228149414,-75.39295196533203,-24.0179386138916,0.00984520185738802,8.866223652148619e-05,4588.10888671875,13309.4697265625
resid_post,0,2,3.951277176383883e-05,1.757240534061566e-05,2.1940360966254957e-05,-98.75701904296875,-90.6437759399414,-99.26646423339844,0.00010289131751051173,1.7068723536795005e-05,10861.7470703125,17407.640625
resid_post,0,3,4.593919584294781e-05,2.2899932446307503e-05,2.3039261577650905e-05,-98.55486297607422,-87.80720520019531,-99.22972869873047,0.00010187170846620575,1.4146193279884756e-05,12954.666015625,21248.83203125
resid_post,0,4,2.6172101570409723e-05,2.3351780328084715e-05,2.820321697072359e-06,-99.17668914794922,-87.56661224365234,-99.90571594238281,8.011157660803292e-06,6.711987225571647e-06,15144.82421875,18864.83984375
resid_post,0,5,0.04145457223057747,0.0008824932156130672,0.04057207703590393,1204.0640869140625,369.8732604980469,1256.444580078125,0.03195067122578621,0.0015943495091050863,2074.87939453125,3193.786865234375
resid_post,0,6,6.496229616459459e-05,0.0014652010286226869,-0.0014002386014908552,-97.9564437866211,680.1292724609375,-146.81411743164062,7.404151256196201e-05,0.0034955290611833334,5827.818359375,0.413388192653656
resid_post,0,7,2.6411211365484633e-05,2.6214414901915006e-05,1.9679472984535096e-07,-99.1691665649414,-86.04243469238281,-99.99342346191406,6.355269306368427e-06,6.190120984683745e-06,11933.35546875,11931.59765625
resid_post,0,8,1.3230187505541835e-06,1.1368512105036643e-06,1.8616741215282673e-07,-99.95838165283203,-99.39469909667969,-99.9937744140625,7.506006113544572e-06,6.050189313100418e-06,261.14959716796875,364.5708923339844
resid_post,0,9,0.00039342400850728154,3.521160761010833e-05,0.0003582123899832368,-87.6238021850586,-81.25199127197266,-88.0239028930664,0.0015385934384539723,3.639552596723661e-05,4494.205078125,12817.0576171875
resid_post,0,10,2.720665725064464e-05,1.835681359807495e-05,8.849843652569689e-06,-99.14413452148438,-90.22612762451172,-99.7041244506836,3.488533548079431e-05,1.3083938938507345e-05,10461.5029296875,15731.87109375
resid_post,0,11,3.44535474141594e-05,2.3176646209321916e-05,1.1276901204837486e-05,-98.91616821289062,-87.65985870361328,-99.62297821044922,4.2333231249358505e-05,9.573046554578468e-06,13205.2724609375,19773.3984375
resid_post,0,12,2.378392673563212e-05,2.2469550458481535e-05,1.3143769592716126e-06,-99.2518081665039,-88.03634643554688,-99.95606231689453,8.494025678373873e-06,7.677520443394314e-06,14737.740234375,16986.310546875
resid_post,0,13,3.059982554987073e-05,2.8994814783800393e-05,1.6050111071308493e-06,-99.03739929199219,-84.56204986572266,-99.94635009765625,9.114934982790146e-06,8.57352188177174e-06,7244.27197265625,8878.6884765625
resid_post,1,0,2.019846397161018e-05,1.8684315364225768e-05,1.5141520179895451e-06,-99.37188720703125,-90.05882263183594,-99.94999694824219,1.167028949566884e-05,1.2274520486244e-05,23139.33203125,25008.658203125
resid_post,1,1,0.0028564922977238894,5.594133835984394e-05,0.0028005510102957487,-11.172150611877441,-70.2358627319336,-7.505821704864502,0.012820559553802013,0.0002465964644216001,4561.892578125,13175.0087890625
resid_post,1,2,4.58566501038149e-05,2.0106213924009353e-05,2.5750436179805547e-05,-98.57400512695312,-89.30228424072266,-99.14954376220703,9.750657773111016e-05,2.2950705897528678e-05,8675.3046875,15469.001953125
resid_post,1,3,5.5767981393728405e-05,2.711447268666234e-05,2.8653506888076663e-05,-98.26578521728516,-85.57347869873047,-99.05365753173828,0.0001009274274110794,1.953373612195719e-05,9144.3408203125,17562.8046875
resid_post,1,4,3.157106038997881e-05,2.6609088308759965e-05,4.961973445460899e-06,-99.01824188232422,-85.84236907958984,-99.83611297607422,1.1657132745312992e-05,9.129471436608583e-06,11122.4287109375,15354.0712890625
resid_post,1,5,0.04145457223057747,0.0008824932156130672,0.04057207703590393,1189.105712890625,369.53924560546875,1239.9794921875,0.03195067122578621,0.0015943495091050863,2074.87939453125,3193.786865234375
resid_post,1,6,7.98438341007568e-05,0.001430518925189972,-0.0013506748946383595,-97.51710510253906,661.1217041015625,-144.6089324951172,0.00011837342026410624,0.004284854047000408,4785.95166015625,1.4083701372146606
resid_post,1,7,3.0376661015907302e-05,2.967145701404661e-05,7.052016712805198e-07,-99.05538177490234,-84.21300506591797,-99.9767074584961,9.018439413921442e-06,8.882182555680629e-06,9362.0703125,9782.056640625
resid_post,1,8,1.3388508932621335e-06,1.1544965445864364e-06,1.8435420656714996e-07,-99.95836639404297,-99.38573455810547,-99.99391174316406,7.411144451907603e-06,6.151391517050797e-06,244.94334411621094,356.3708801269531
resid_post,1,9,0.0003190274874214083,3.605994788813405e-05,0.0002829675795510411,-90.07925415039062,-80.81394958496094,-90.65438079833984,0.0012659556232392788,4.874103615293279e-05,4108.8408203125,11928.7587890625
resid_post,1,10,2.7878071705345064e-05,1.9527675249264576e-05,8.350395546585787e-06,-99.1330795288086,-89.61009979248047,-99.72420501708984,3.111935802735388e-05,1.432184308214346e-05,9547.9931640625,14197.7392578125
resid_post,1,11,3.6231711419532076e-05,2.5408926376258023e-05,1.082278868125286e-05,-98.8733139038086,-86.48092651367188,-99.6425552368164,3.570783883333206e-05,1.0708141417126171e-05,10632.0771484375,16523.9765625
resid_post,1,12,2.6358246032032184e-05,2.478005990269594e-05,1.5781870388309471e-06,-99.18033599853516,-86.81552124023438,-99.9478759765625,1.1507600902405102e-05,1.032995442074025e-05,12347.6171875,14295.8896484375
resid_post,1,13,3.515280695864931e-05,3.3212589187314734e-05,1.9402166344661964e-06,-98.9068603515625,-82.32891082763672,-99.93592071533203,1.3382256838667672e-05,1.2404831977619324e-05,5925.388671875,7114.94580078125
resid_post,2,0,1.622504714759998e-05,1.5100838936632499e-05,1.1242090067753452e-06,-99.47808837890625,-91.18999481201172,-99.96173095703125,1.0123952051799279e-05,1.0498115443624556e-05,22775.779296875,24598.400390625
