mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,alpha,experiment,heads
14.456228256225586,16.38579559326172,-1.929567575454712,1.6658620834350586,2.6910884380340576,2.6867001056671143,2392.0,7495.0,5,fa_subset_boost,"((10, 7),)"
13.594148635864258,15.910870552062988,-2.3167219161987305,1.6510941982269287,2.787581205368042,2.7625725269317627,1864.0,8009.0,5,fa_subset_boost,"((11, 10),)"
13.966662406921387,17.532596588134766,-3.565932512283325,1.673360824584961,2.6885006427764893,2.6637156009674072,421.0,9540.0,5,fa_subset_boost,"((11, 3),)"
13.8573637008667,14.130377769470215,-0.2730148136615753,1.666047215461731,2.702235698699951,2.7291007041931152,5014.0,4614.0,5,fa_subset_boost,"((10, 7), (11, 10))"
14.439142227172852,16.35759735107422,-1.918454885482788,1.665223240852356,2.691836357116699,2.685107946395874,2419.0,7470.0,5,fa_subset_boost,"((10, 7), (11, 3))"
13.578178405761719,15.880325317382812,-2.3021469116210938,1.6508523225784302,2.791917324066162,2.7615556716918945,1880.0,7989.0,5,fa_subset_boost,"((11, 10), (11, 3))"
13.83864974975586,14.100289344787598,-0.26164090633392334,1.6656500101089478,2.704712390899658,2.7279655933380127,5042.0,4579.0,5,fa_subset_boost,"((10, 7), (11, 10), (11, 3))"
14.29533863067627,17.37983512878418,-3.0844967365264893,1.6869827508926392,2.5012850761413574,2.5365076065063477,585.0,9367.0,0,cofa_subset_ablate,"((7, 10),)"
14.301937103271484,17.501672744750977,-3.1997315883636475,1.7113323211669922,2.665027379989624,2.5804874897003174,613.0,9337.0,0,cofa_subset_ablate,"((9, 9),)"
13.992840766906738,17.67185401916504,-3.679013967514038,1.7444477081298828,2.7083568572998047,2.742358684539795,419.0,9546.0,0,cofa_subset_ablate,"((9, 6),)"
14.532299995422363,17.067745208740234,-2.535444974899292,1.5824788808822632,2.7402501106262207,2.5913989543914795,1274.0,8660.0,0,cofa_subset_ablate,"((10, 0),)"
14.697639465332031,17.19801902770996,-2.5003793239593506,1.7352590560913086,2.422640085220337,2.392439365386963,1048.0,8883.0,0,cofa_subset_ablate,"((7, 10), (9, 9))"
14.308892250061035,17.48480224609375,-3.175910711288452,1.7721734046936035,2.5360541343688965,2.6405320167541504,621.0,9340.0,0,cofa_subset_ablate,"((7, 10), (9, 6))"
14.784473419189453,16.912216186523438,-2.1277432441711426,1.6177036762237549,2.5599348545074463,2.4804680347442627,1658.0,8264.0,0,cofa_subset_ablate,"((7, 10), (10, 0))"
14.301565170288086,17.627138137817383,-3.325571060180664,1.7817600965499878,2.6917154788970947,2.6739394664764404,628.0,9329.0,0,cofa_subset_ablate,"((9, 9), (9, 6))"
14.940478324890137,16.935949325561523,-1.9954726696014404,1.6082442998886108,2.7140398025512695,2.4363198280334473,1868.0,8041.0,0,cofa_subset_ablate,"((9, 9), (10, 0))"
14.790459632873535,16.965482711791992,-2.1750221252441406,1.6112133264541626,2.8005361557006836,2.6458864212036133,1817.0,8098.0,0,cofa_subset_ablate,"((9, 6), (10, 0))"
14.701549530029297,17.32206916809082,-2.6205196380615234,1.819500207901001,2.4637582302093506,2.5212314128875732,1106.0,8837.0,0,cofa_subset_ablate,"((7, 10), (9, 9), (9, 6))"
15.271721839904785,16.640737533569336,-1.3690166473388672,1.6534981727600098,2.4725141525268555,2.259300947189331,2819.0,7070.0,0,cofa_subset_ablate,"((7, 10), (9, 9), (10, 0))"
15.069154739379883,16.766881942749023,-1.6977291107177734,1.6602239608764648,2.6334354877471924,2.5457255840301514,2508.0,7400.0,0,cofa_subset_ablate,"((7, 10), (9, 6), (10, 0))"
15.199148178100586,16.834558486938477,-1.6354093551635742,1.655967354774475,2.781364679336548,2.522773027420044,2608.0,7288.0,0,cofa_subset_ablate,"((9, 9), (9, 6), (10, 0))"
15.558090209960938,16.49128532409668,-0.9331940412521362,1.716988444328308,2.5596742630004883,2.379042863845825,3878.0,6010.0,0,cofa_subset_ablate,"((7, 10), (9, 9), (9, 6), (10, 0))"
