mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,alpha,experiment,heads
13.981472969055176,17.561538696289062,-3.580063581466675,1.674214243888855,2.6851913928985596,2.665299892425537,413.0,9547.0,1.0,fa_gridsearch,"[(10, 7), (11, 10), (11, 3)]"
13.935734748840332,15.311386108398438,-1.3756500482559204,1.6357312202453613,2.692880630493164,2.649653434753418,3238.0,6528.0,2.0,fa_gridsearch,"[(10, 7), (11, 10), (11, 3)]"
13.83864974975586,14.100289344787598,-0.26164090633392334,1.6656500101089478,2.704712390899658,2.7279655933380127,5042.0,4579.0,5.0,fa_gridsearch,"[(10, 7), (11, 10), (11, 3)]"
13.81804084777832,13.972688674926758,-0.15464869141578674,1.665540337562561,2.6847801208496094,2.7396156787872314,5152.0,4453.0,10.0,fa_gridsearch,"[(10, 7), (11, 10), (11, 3)]"
13.804584503173828,13.93835163116455,-0.13376721739768982,1.668096899986267,2.6573293209075928,2.7367870807647705,5167.0,4434.0,100.0,fa_gridsearch,"[(10, 7), (11, 10), (11, 3)]"
13.981472969055176,17.561538696289062,-3.580063581466675,1.674214243888855,2.6851913928985596,2.665299892425537,413.0,9547.0,1.0,cofa_gridsearch,"[(7, 10), (9, 9), (9, 6), (10, 0)]"
15.105857849121094,16.94135284423828,-1.835497260093689,1.6775529384613037,2.620633602142334,2.465318202972412,2138.0,7770.0,0.5,cofa_gridsearch,"[(7, 10), (9, 9), (9, 6), (10, 0)]"
15.451373100280762,16.60895538330078,-1.1575838327407837,1.7066904306411743,2.5687835216522217,2.3893892765045166,3422.0,6472.0,0.2,cofa_gridsearch,"[(7, 10), (9, 9), (9, 6), (10, 0)]"
15.513172149658203,16.541584014892578,-1.02841317653656,1.7125715017318726,2.5625765323638916,2.38200044631958,3670.0,6216.0,0.1,cofa_gridsearch,"[(7, 10), (9, 9), (9, 6), (10, 0)]"
15.558090209960938,16.49128532409668,-0.9331940412521362,1.716988444328308,2.5596742630004883,2.379042863845825,3878.0,6010.0,0.0,cofa_gridsearch,"[(7, 10), (9, 9), (9, 6), (10, 0)]"
