component,layer,position,mem,cp,diff,mem_perc,cp_perc,diff_perc,mem_std,cp_std,mem_idx,cp_idx
resid_post,9,5,3.9982666969299316,2.7202908992767334,1.2779759168624878,11.496377944946289,-6.091181755065918,85.41011810302734,0.6430092453956604,0.7012456655502319,2074.8798828125,3193.786376953125
resid_post,9,6,3.5668535232543945,6.403299331665039,-2.8364460468292236,-0.5340873003005981,121.05219268798828,-511.5146484375,1.4048199653625488,1.1912254095077515,2487.474853515625,52.321659088134766
resid_post,9,7,4.27335262298584,4.305988311767578,-0.032636117190122604,19.16747283935547,48.64964294433594,-104.7348861694336,1.122052788734436,1.1702686548233032,963.533203125,1040.49072265625
resid_post,9,8,0.16839599609375,0.1511252075433731,0.017270805314183235,-95.3040771484375,-94.78292083740234,-97.49433135986328,0.8755113482475281,0.7855864763259888,24.21942710876465,39.50624465942383
resid_post,9,9,3.937488317489624,1.9267429113388062,2.0107452869415283,9.80150032043457,-33.48573303222656,191.72108459472656,1.5669496059417725,1.309093713760376,1743.0533447265625,8427.9853515625
resid_post,9,10,2.22285532951355,1.207930326461792,1.0149251222610474,-38.0130615234375,-58.30030059814453,47.24642562866211,1.8701846599578857,1.4177809953689575,4392.2060546875,9352.0146484375
resid_post,9,11,2.9092819690704346,2.1133780479431152,0.7959039807319641,-18.871244430541992,-27.042789459228516,15.470603942871094,1.1463664770126343,1.14389169216156,2145.22509765625,5575.04736328125
resid_post,9,12,3.0756306648254395,2.730323314666748,0.34530705213546753,-14.232415199279785,-5.744847297668457,-49.90248489379883,1.3030849695205688,1.3003947734832764,2387.13134765625,3476.592041015625
resid_post,9,13,7.117485523223877,10.389304161071777,-3.271818161010742,98.4794692993164,258.6554870605469,-574.6788940429688,1.4248340129852295,1.7559654712677002,37.78522491455078,0.08109193295240402
resid_post,10,0,0.8480468988418579,0.656297504901886,0.19174936413764954,-83.95243072509766,-84.38542175292969,-82.26961517333984,1.0222289562225342,1.065557599067688,16836.728515625,18592.724609375
