label,cp_mean - mem_mean,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L0H0,-0.000890781,0.015948986634612083,0.015058205462992191,0.0008907827432267368,0.02570672146975994,0.025637004524469376,0.029865792021155357
L0H1,-0.006111365,0.03912046179175377,0.03300909698009491,0.006111360155045986,0.05565473437309265,0.05282403528690338,0.07015763223171234
L0H2,-0.001233151,-0.013117225840687752,-0.014350377023220062,0.0012331511825323105,0.024741752073168755,0.026227449998259544,0.03119809180498123
L0H3,-0.003401431,-0.0009901727316901088,-0.004391603637486696,0.0034014307893812656,0.03749782219529152,0.037559155374765396,0.05079769715666771
L0H4,-0.003419868,0.00877457857131958,0.005354710388928652,0.003419868415221572,0.02816852368414402,0.030281798914074898,0.03686503320932388
L0H5,-0.000502518,0.009814201854169369,0.009311683475971222,0.0005025179707445204,0.0410122387111187,0.040143441408872604,0.0478503592312336
L0H6,-0.011805276,0.01997333951294422,0.008168063126504421,0.01180527824908495,0.06609330326318741,0.0683993250131607,0.09159092605113983
L0H7,-0.001425151,0.035349782556295395,0.03392463177442551,0.0014251531101763248,0.03702525421977043,0.041046142578125,0.04292015731334686
L0H8,0.000660732,0.051959406584501266,0.052620138972997665,-0.0006607373361475766,0.08139415830373764,0.08834991604089737,0.09394752979278564
L0H9,0.006520983,-0.04382528364658356,-0.03730430081486702,-0.0065209828317165375,0.06077343598008156,0.06613828986883163,0.08118600398302078
L0H10,-0.00525374,0.07379589229822159,0.06854215264320374,0.005253734532743692,0.04655101150274277,0.05219145491719246,0.06605585664510727
L0H11,0.006000945,0.026460105553269386,0.032461050897836685,-0.006000941619277,0.07320323586463928,0.07745298743247986,0.07714341580867767
L1H0,-0.000800073,-0.0054236180149018764,-0.006223691161721945,0.0008000730886124074,0.03521565720438957,0.03623714670538902,0.04293261468410492
L1H1,0.002772666,0.005840243771672249,0.008612909354269505,-0.0027726658154278994,0.03463198244571686,0.036906857043504715,0.04489264637231827
L1H2,0.002203813,0.011239857412874699,0.013443670235574245,-0.0022038137540221214,0.06780742108821869,0.06561943143606186,0.0882953479886055
L1H3,0.000370478,-0.030304163694381714,-0.029933685436844826,-0.00037047977093607187,0.06030969321727753,0.06113152205944061,0.06006932258605957
