mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,heads,experiment,layer_diff,pos
14.056807518005371,17.30039405822754,-3.243586301803589,1.6137994527816772,2.7020511627197266,2.642470121383667,556.0,9383.0,"(3, 4), (6, 2)",double_boost,3,all
13.964462280273438,17.532686233520508,-3.568222999572754,1.6758865118026733,2.6856021881103516,2.661428451538086,421.0,9536.0,"(3, 3), (8, 4)",double_boost,5,all
13.917815208435059,17.63906478881836,-3.7212469577789307,1.8394386768341064,2.9567317962646484,2.6424405574798584,332.0,9615.0,"(7, 3), (11, 0)",double_boost,4,all
13.98556900024414,17.415571212768555,-3.430004596710205,1.6537506580352783,2.6639249324798584,2.646395206451416,473.0,9484.0,"(0, 2), (6, 9)",double_boost,6,all
14.036286354064941,17.673219680786133,-3.636932134628296,1.7018276453018188,2.731299638748169,2.7265548706054688,433.0,9526.0,"(4, 0), (11, 9)",double_boost,7,all
13.872976303100586,17.545087814331055,-3.672110080718994,1.6909029483795166,2.708489418029785,2.6534030437469482,385.0,9584.0,"(5, 6), (6, 4)",double_boost,1,all
13.960330963134766,17.487411499023438,-3.527080535888672,1.6627086400985718,2.662842035293579,2.686500310897827,469.0,9481.0,"(2, 5), (6, 1)",double_boost,4,all
13.967874526977539,17.58490753173828,-3.617032051086426,1.6909430027008057,2.6832499504089355,2.666132688522339,412.0,9551.0,"(3, 6), (7, 8)",double_boost,4,all
14.01199722290039,17.611770629882812,-3.599774122238159,1.7193526029586792,2.569340944290161,2.6215546131134033,435.0,9508.0,"(6, 10), (7, 7)",double_boost,1,all
14.316973686218262,18.544891357421875,-4.2279181480407715,1.915239691734314,3.1311874389648438,2.916567325592041,284.0,9689.0,"(1, 7), (8, 5)",double_boost,7,all
14.044140815734863,17.562734603881836,-3.518592119216919,1.6835358142852783,2.6702728271484375,2.6568329334259033,444.0,9510.0,"(3, 11), (10, 10)",double_boost,7,all
13.92043399810791,17.564788818359375,-3.644355535507202,1.6598180532455444,2.734454870223999,2.6916215419769287,433.0,9510.0,"(8, 3), (8, 11)",double_boost,0,all
13.97159194946289,17.480146408081055,-3.5085554122924805,1.673689365386963,2.64918851852417,2.6295523643493652,428.0,9524.0,"(0, 1), (1, 10)",double_boost,1,all
13.96204662322998,17.396841049194336,-3.4347965717315674,1.6493144035339355,2.624924659729004,2.635262966156006,475.0,9477.0,"(4, 6), (11, 4)",double_boost,7,all
13.91601276397705,17.566679000854492,-3.650667190551758,1.7292450666427612,2.835399627685547,2.673473596572876,395.0,9571.0,"(6, 4), (11, 8)",double_boost,5,all
13.953879356384277,17.461841583251953,-3.5079617500305176,1.6789774894714355,2.7188332080841064,2.701066732406616,495.0,9456.0,"(5, 0), (7, 1)",double_boost,2,all
14.017523765563965,17.463464736938477,-3.4459409713745117,1.655176043510437,2.671416997909546,2.6554203033447266,483.0,9473.0,"(1, 4), (6, 0)",double_boost,5,all
13.992057800292969,17.493141174316406,-3.501081943511963,1.6624616384506226,2.673063039779663,2.6604409217834473,460.0,9494.0,"(1, 4), (3, 3)",double_boost,2,all
13.959456443786621,17.57548713684082,-3.616029739379883,1.6771057844161987,2.6785736083984375,2.660024642944336,409.0,9552.0,"(1, 0), (9, 11)",double_boost,8,all
13.754190444946289,17.548744201660156,-3.7945547103881836,1.723168969154358,2.7140953540802,2.7943742275238037,467.0,9481.0,"(7, 1), (9, 9)",double_boost,2,all
13.892406463623047,17.527814865112305,-3.6354129314422607,1.6677143573760986,2.651308536529541,2.6341793537139893,387.0,9579.0,"(3, 10), (6, 4)",double_boost,3,all
13.981245040893555,17.574508666992188,-3.593266487121582,1.676722764968872,2.678237199783325,2.653010368347168,408.0,9552.0,"(0, 6), (1, 0)",double_boost,1,all
13.985857963562012,17.595706939697266,-3.609849691390991,1.6896799802780151,2.7088358402252197,2.6781179904937744,414.0,9551.0,"(0, 5), (3, 6)",double_boost,3,all
13.93517780303955,17.579326629638672,-3.6441500186920166,1.693877100944519,2.6731271743774414,2.6535539627075195,380.0,9578.0,"(2, 3), (10, 11)",double_boost,8,all
13.922347068786621,17.571552276611328,-3.649207353591919,1.6867116689682007,2.6709389686584473,2.6923673152923584,384.0,9576.0,"(0, 3), (10, 3)",double_boost,10,all
13.981504440307617,17.55148696899414,-3.5699832439422607,1.6773380041122437,2.686400890350342,2.6607062816619873,423.0,9537.0,"(1, 11), (9, 11)",double_boost,8,all
13.978753089904785,17.47748374938965,-3.4987316131591797,1.661665916442871,2.695319890975952,2.6643731594085693,459.0,9493.0,"(1, 4), (10, 4)",double_boost,9,all
13.87484359741211,17.560739517211914,-3.6858949661254883,1.700400471687317,2.751260757446289,2.6727211475372314,378.0,9584.0,"(2, 1), (8, 8)",double_boost,6,all
14.514004707336426,17.208965301513672,-2.694960117340088,1.6328071355819702,2.3592545986175537,2.366734504699707,813.0,9123.0,"(7, 6), (10, 9)",double_boost,3,all
13.896662712097168,17.540971755981445,-3.6443092823028564,1.6810336112976074,2.7511446475982666,2.6733853816986084,429.0,9516.0,"(8, 3), (9, 4)",double_boost,1,all
13.855437278747559,17.449861526489258,-3.5944225788116455,1.7261239290237427,2.7205922603607178,2.677954912185669,494.0,9456.0,"(2, 11), (9, 8)",double_boost,7,all
14.107855796813965,17.680513381958008,-3.5726585388183594,1.7171086072921753,2.720038414001465,2.712955951690674,484.0,9467.0,"(10, 10), (11, 9)",double_boost,1,all
13.969244003295898,17.548419952392578,-3.5791738033294678,1.6699196100234985,2.673119306564331,2.6645889282226562,425.0,9534.0,"(0, 4), (2, 4)",double_boost,2,all
13.99203109741211,17.56441307067871,-3.572380781173706,1.6834083795547485,2.7392385005950928,2.6938252449035645,443.0,9516.0,"(1, 5), (5, 2)",double_boost,4,all
13.956323623657227,17.147930145263672,-3.191606044769287,1.6496585607528687,2.6472952365875244,2.8022212982177734,925.0,9007.0,"(8, 2), (10, 7)",double_boost,2,all
14.11158275604248,17.31475067138672,-3.203165054321289,1.6183319091796875,2.5478971004486084,2.589538812637329,553.0,9402.0,"(1, 3), (11, 4)",double_boost,10,all
13.973873138427734,17.57145881652832,-3.597585439682007,1.6702831983566284,2.6751325130462646,2.6574981212615967,405.0,9549.0,"(2, 4), (3, 8)",double_boost,1,all
13.842887878417969,17.456663131713867,-3.6137757301330566,1.6606756448745728,2.643280506134033,2.6434664726257324,393.0,9572.0,"(2, 6), (3, 3)",double_boost,1,all
14.224092483520508,18.00026512145996,-3.7761757373809814,1.7627801895141602,2.8033413887023926,2.77134370803833,405.0,9562.0,"(3, 6), (8, 9)",double_boost,5,all
13.908707618713379,17.55552101135254,-3.6468141078948975,1.6703171730041504,2.724879503250122,2.67390775680542,413.0,9541.0,"(3, 11), (8, 3)",double_boost,5,all
13.983295440673828,17.560688018798828,-3.5773937702178955,1.6771461963653564,2.6892921924591064,2.6647157669067383,416.0,9544.0,"(0, 2), (1, 11)",double_boost,1,all
13.955268859863281,17.547029495239258,-3.5917601585388184,1.6620144844055176,2.645224094390869,2.6463510990142822,390.0,9573.0,"(2, 8), (4, 1)",double_boost,2,all
14.060181617736816,17.70711898803711,-3.6469390392303467,1.7104490995407104,2.7608940601348877,2.698394775390625,432.0,9522.0,"(3, 0), (6, 3)",double_boost,3,all
13.779684066772461,17.54393768310547,-3.7642526626586914,1.707155704498291,2.632216453552246,2.6618974208831787,340.0,9623.0,"(5, 3), (9, 7)",double_boost,4,all
14.150762557983398,16.962894439697266,-2.8121302127838135,1.688270926475525,2.555222511291504,2.632676362991333,780.0,9177.0,"(0, 10), (11, 1)",double_boost,11,all
13.948609352111816,17.510967254638672,-3.5623579025268555,1.6678924560546875,2.7190089225769043,2.7489850521087646,528.0,9428.0,"(7, 2), (10, 8)",double_boost,3,all
