layer,head,source_position,dest_position,value
0,0,0,0,0.3262181282043457
0,0,0,1,0.0002865404530894011
0,0,0,2,0.0
0,0,0,3,0.0
0,0,0,4,6.517994916066527e-05
0,0,0,5,1.6881942428881302e-05
0,0,0,6,2.971857975353487e-05
0,0,0,7,1.153785069618607e-05
0,0,0,8,0.0
0,0,0,9,9.166219388134778e-05
0,0,0,10,0.0
0,0,0,11,0.0002865404530894011
0,0,0,12,2.6681211238610558e-05
0,0,0,13,0.0
0,0,1,0,0.21279798448085785
0,0,1,1,0.15546780824661255
0,0,1,2,0.0
0,0,1,3,0.00426439056172967
0,0,1,4,7.527097477577627e-05
0,0,1,5,0.0
0,0,1,6,0.0
0,0,1,7,0.0
0,0,1,8,0.0
0,0,1,9,0.0
0,0,1,10,0.0
0,0,1,11,0.0008028903976082802
0,0,1,12,0.0
0,0,1,13,0.0
0,0,2,0,0.12159249186515808
0,0,2,1,0.15335313975811005
0,0,2,2,0.05210472643375397
0,0,2,3,0.01993178389966488
0,0,2,4,0.008246533572673798
0,0,2,5,0.00038035400211811066
0,0,2,6,0.0005735690356232226
0,0,2,7,0.00014537428796757013
0,0,2,8,0.0001975592749658972
0,0,2,9,0.0
0,0,2,10,0.0
0,0,2,11,0.0
0,0,2,12,0.0
0,0,2,13,0.0
0,0,3,0,0.1491014063358307
0,0,3,1,0.15969787538051605
0,0,3,2,0.06927543878555298
0,0,3,3,0.07623367756605148
0,0,3,4,3.5681914596352726e-05
0,0,3,5,3.597850809455849e-05
0,0,3,6,3.579285476007499e-05
0,0,3,7,3.13607815769501e-05
0,0,3,8,0.0
0,0,3,9,2.3600032363901846e-05
0,0,3,10,0.0
0,0,3,11,9.093410335481167e-05
0,0,3,12,3.5656634281622246e-05
0,0,3,13,2.154401590814814e-05
0,0,4,0,0.13179510831832886
0,0,4,1,0.10800124704837799
0,0,4,2,0.06504405289888382
0,0,4,3,0.10487298667430878
0,0,4,4,0.0693361759185791
0,0,4,5,0.0018741011153906584
0,0,4,6,0.0
0,0,4,7,0.0
0,0,4,8,0.0
0,0,4,9,0.00012205131497466937
0,0,4,10,0.0
0,0,4,11,0.00041035053436644375
0,0,4,12,2.0276276700315066e-05
0,0,4,13,0.0
0,0,5,0,0.10385989397764206
0,0,5,1,0.09073157608509064
0,0,5,2,0.07069624960422516
0,0,5,3,0.10188650339841843
0,0,5,4,0.10088594257831573
0,0,5,5,0.030071599408984184
0,0,5,6,0.0
0,0,5,7,0.0
0,0,5,8,0.0
0,0,5,9,5.001190584152937e-05
0,0,5,10,0.0
0,0,5,11,0.0001743346219882369
0,0,5,12,3.2433064916403964e-05
0,0,5,13,0.0
0,0,6,0,0.09811621904373169
0,0,6,1,0.07622834295034409
0,0,6,2,0.05163319408893585
0,0,6,3,0.06628359109163284
0,0,6,4,0.07160051167011261
0,0,6,5,0.07547076791524887
0,0,6,6,0.09142252802848816
