label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L4H0,10,0.01870208978652954,0.013617122545838356,0.005084967706352472,0.021412217989563942,0.01373075507581234,0.012796042487025261
L4H0,11,0.02286588028073311,0.01544306892901659,0.007422809489071369,0.017517799511551857,0.010926103219389915,0.010226275771856308
L4H0,12,0.024513619020581245,0.020544812083244324,0.0039688050746917725,0.012471945025026798,0.005550961475819349,0.008190697990357876
L4H0,13,0.040329717099666595,0.04020534083247185,0.00012438073463272303,0.0418984554708004,0.051213886588811874,0.024410037323832512
L4H1,0,0.007963561452925205,0.016840197145938873,-0.008876636624336243,0.019333960488438606,0.013853104785084724,0.032523009926080704
L4H1,1,0.022998036816716194,0.03138061612844467,-0.008382581174373627,0.023990483954548836,0.031140359118580818,0.05059939995408058
L4H1,2,0.01842990517616272,0.02174166589975357,-0.0033117569983005524,0.020600078627467155,0.026723209768533707,0.04645742475986481
L4H1,3,0.013167917728424072,0.013966831378638744,-0.0007989093428477645,0.01779283583164215,0.020175211131572723,0.034021101891994476
L4H1,4,0.018662014976143837,0.018753396347165108,-9.138286259258166e-05,0.017178962007164955,0.02509385533630848,0.03487866744399071
L4H1,5,0.1335546374320984,0.08351856470108032,0.05003606528043747,0.006589600350707769,0.015406018123030663,0.014557192102074623
L4H1,6,0.042334966361522675,0.04785052686929703,-0.005515556316822767,0.034614913165569305,0.03790436312556267,0.038208574056625366
L4H1,7,0.019612213596701622,0.020264258608222008,-0.000652043498121202,0.020653704181313515,0.01138873677700758,0.02716347761452198
L4H1,8,0.0,0.0,0.0,0.0,0.0,0.0
L4H1,9,0.013403397984802723,0.014995110221207142,-0.0015917062992230058,0.043989211320877075,0.013715924695134163,0.047614824026823044
L4H1,10,0.018131697550415993,0.012834383174777031,0.0052973129786551,0.02875850908458233,0.016918353736400604,0.030348533764481544
L4H1,11,0.01404968649148941,0.01340407133102417,0.0006456218543462455,0.03237803280353546,0.010603364557027817,0.033123962581157684
L4H1,12,0.01744716800749302,0.017720334231853485,-0.00027316511841490865,0.03919371962547302,0.010445361956954002,0.04421784356236458
L4H1,13,0.04082496836781502,0.0558723583817482,-0.01504738349467516,0.027971304953098297,0.038124050945043564,0.04125514626502991
L4H2,0,-0.041268281638622284,-0.03612937033176422,-0.005138915032148361,0.034497883170843124,0.031867269426584244,0.024578552693128586
L4H2,1,-0.03981464356184006,-0.04217884689569473,0.0023641965817660093,0.03079947456717491,0.0397338829934597,0.03144987300038338
L4H2,2,-0.020246604457497597,-0.0292515866458416,0.009004983119666576,0.023184433579444885,0.038679976016283035,0.04240049421787262
L4H2,3,-0.01783255860209465,-0.013980979099869728,-0.0038515820633620024,0.015573126263916492,0.02969636581838131,0.03118409961462021
L4H2,4,-0.024174313992261887,-0.02325202152132988,-0.0009222961962223053,0.03014964982867241,0.03366407752037048,0.04631899669766426
L4H2,5,0.1335546374320984,0.08351856470108032,0.05003606528043747,0.006589600350707769,0.015406018123030663,0.014557192102074623
L4H2,6,-0.021231839433312416,-0.008415941148996353,-0.012815898284316063,0.040005650371313095,0.06211594119668007,0.07752544432878494
L4H2,7,-0.011074213311076164,-0.016893867403268814,0.005819657351821661,0.03249284252524376,0.026112299412488937,0.04714757576584816
L4H2,8,0.0,0.0,0.0,0.0,0.0,0.0
L4H2,9,-0.015688756480813026,-0.019612494856119156,0.00392373651266098,0.03362264111638069,0.03515706583857536,0.04856739193201065
L4H2,10,-0.0021080542355775833,-0.007936114445328712,0.005828060209751129,0.025422047823667526,0.03396156430244446,0.05397237837314606
L4H2,11,0.005215339362621307,-0.004249085206538439,0.009464424103498459,0.02784859389066696,0.030229268595576286,0.05003422871232033
L4H2,12,-0.010004153475165367,-0.011006778106093407,0.0010026224190369248,0.029212558642029762,0.03422360494732857,0.052394185215234756
L4H2,13,0.007069348357617855,-0.0006165389204397798,0.007685881108045578,0.03845660760998726,0.040286239236593246,0.07051779329776764
L4H3,0,-0.019342225044965744,-0.015525011345744133,-0.0038172141648828983,0.009342478588223457,0.012322589755058289,0.018789347261190414
L4H3,1,-0.009389134123921394,-0.007298772223293781,-0.0020903623662889004,0.010987858287990093,0.019187264144420624,0.024056492373347282
L4H3,2,0.030307209119200706,0.01961326412856579,0.010693950578570366,0.0186455175280571,0.03159576654434204,0.034194111824035645
L4H3,3,0.04831593856215477,0.03136306256055832,0.016952870413661003,0.02088344842195511,0.02673778124153614,0.03140537813305855
