mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,heads,experiment,pos
3.972228050231934,17.543697357177734,-3.5714690685272217,1.6729514598846436,2.682743549346924,2.664672613143921,420.0,9541.0,"(0, 9)",single_boost,attribute
13.983123779296875,17.563886642456055,-3.580763578414917,1.6746842861175537,2.6894309520721436,2.667625904083252,412.0,9548.0,"(9, 3)",single_boost,attribute
13.989368438720703,17.563758850097656,-3.5743906497955322,1.6713130474090576,2.6794848442077637,2.6606853008270264,414.0,9546.0,"(6, 3)",single_boost,attribute
13.978240966796875,17.559043884277344,-3.580800771713257,1.6729332208633423,2.6824803352355957,2.66326642036438,411.0,9550.0,"(3, 5)",single_boost,attribute
13.981344223022461,17.561368942260742,-3.580023765563965,1.6742292642593384,2.6852526664733887,2.665294885635376,413.0,9547.0,"(2, 8)",single_boost,attribute
13.902899742126465,18.486106872558594,-4.583207130432129,1.7408957481384277,2.6171607971191406,2.7606818675994873,225.0,9746.0,"(11, 6)",single_boost,attribute
13.994376182556152,17.576614379882812,-3.582235097885132,1.6760334968566895,2.6896841526031494,2.6651535034179688,412.0,9549.0,"(6, 5)",single_boost,attribute
13.97822380065918,17.562318801879883,-3.584094524383545,1.6748541593551636,2.6847710609436035,2.6645092964172363,412.0,9549.0,"(2, 9)",single_boost,attribute
13.981724739074707,17.562889099121094,-3.581164836883545,1.674336552619934,2.685045003890991,2.665191411972046,412.0,9548.0,"(0, 2)",single_boost,attribute
13.973341941833496,17.706499099731445,-3.7331554889678955,1.6913692951202393,2.6467483043670654,2.6624040603637695,356.0,9602.0,"(11, 1)",single_boost,attribute
13.98128604888916,17.561710357666016,-3.5804250240325928,1.6742565631866455,2.6851513385772705,2.6652116775512695,413.0,9547.0,"(3, 7)",single_boost,attribute
13.985892295837402,17.560741424560547,-3.5748491287231445,1.6735206842422485,2.687493324279785,2.666452407836914,423.0,9538.0,"(8, 2)",single_boost,attribute
14.323741912841797,17.427013397216797,-3.103271007537842,1.6880334615707397,2.731961965560913,2.78464412689209,796.0,9144.0,"(6, 10)",single_boost,attribute
13.98709487915039,17.566692352294922,-3.5795960426330566,1.6746495962142944,2.6851747035980225,2.666440010070801,413.0,9546.0,"(5, 11)",single_boost,attribute
13.98198413848877,17.560989379882812,-3.579003095626831,1.6740959882736206,2.6858861446380615,2.6652991771698,415.0,9545.0,"(7, 0)",single_boost,attribute
13.777803421020508,17.63985252380371,-3.862050771713257,1.7263000011444092,2.6538312435150146,2.6379685401916504,303.0,9649.0,"(9, 0)",single_boost,attribute
13.937277793884277,17.5718936920166,-3.634617567062378,1.6872684955596924,2.691962242126465,2.6708343029022217,397.0,9558.0,"(9, 7)",single_boost,attribute
13.985037803649902,17.56427574157715,-3.5792336463928223,1.6749767065048218,2.6855502128601074,2.665839910507202,415.0,9545.0,"(4, 4)",single_boost,attribute
12.79351806640625,17.36612319946289,-4.572604179382324,1.7319809198379517,2.621303081512451,2.497345209121704,111.0,9864.0,"(9, 9)",single_boost,attribute
13.981415748596191,17.562097549438477,-3.5806827545166016,1.674236536026001,2.6851909160614014,2.6649105548858643,412.0,9548.0,"(0, 1)",single_boost,attribute
13.515253067016602,17.24072265625,-3.725468635559082,1.6796122789382935,2.513307809829712,2.5166525840759277,331.0,9631.0,"(11, 9)",single_boost,attribute
13.929012298583984,17.257394790649414,-3.3283815383911133,1.6661616563796997,2.714416980743408,2.6476120948791504,572.0,9372.0,"(11, 5)",single_boost,attribute
13.975815773010254,17.449909210205078,-3.4740936756134033,1.640796422958374,2.4989068508148193,2.5253078937530518,386.0,9570.0,"(8, 1)",single_boost,attribute
14.528996467590332,17.23202896118164,-2.703030586242676,1.7877804040908813,2.940328598022461,2.78409481048584,1296.0,8609.0,"(8, 10)",single_boost,attribute
13.25525951385498,21.438743591308594,-8.18348217010498,1.963890552520752,2.8398356437683105,3.337789297103882,21.0,9977.0,"(11, 2)",single_boost,attribute
13.982534408569336,17.562664031982422,-3.580130100250244,1.6743755340576172,2.6858911514282227,2.6658952236175537,415.0,9545.0,"(0, 11)",single_boost,attribute
14.096906661987305,18.117631912231445,-4.020726680755615,1.6792101860046387,2.6023759841918945,2.661139726638794,284.0,9681.0,"(11, 11)",single_boost,attribute
13.811023712158203,17.560426712036133,-3.749403238296509,1.6472963094711304,2.593719959259033,2.671426296234131,368.0,9597.0,"(8, 3)",single_boost,attribute
13.973760604858398,17.567827224731445,-3.5940659046173096,1.6758722066879272,2.6861491203308105,2.663867473602295,411.0,9549.0,"(2, 10)",single_boost,attribute
13.981062889099121,17.56140899658203,-3.580348014831543,1.6742197275161743,2.6851277351379395,2.6651132106781006,413.0,9547.0,"(0, 7)",single_boost,attribute
13.928906440734863,17.551300048828125,-3.6223905086517334,1.6776268482208252,2.6832211017608643,2.657829999923706,396.0,9566.0,"(6, 7)",single_boost,attribute
13.901617050170898,17.54228973388672,-3.6406710147857666,1.673266887664795,2.678459882736206,2.6715757846832275,385.0,9582.0,"(9, 4)",single_boost,attribute
13.98128604888916,17.561710357666016,-3.5804250240325928,1.6742565631866455,2.6851513385772705,2.6652116775512695,413.0,9547.0,"(3, 7)",single_boost,attribute
13.988760948181152,17.560482025146484,-3.571721076965332,1.6733709573745728,2.6839258670806885,2.6657679080963135,418.0,9542.0,"(2, 7)",single_boost,attribute
