mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,heads,experiment,pos
13.970325469970703,17.570310592651367,-3.5999863147735596,1.6738924980163574,2.673393964767456,2.655430316925049,407.0,9552.0,"(1, 0)",single_boost,all
13.910931587219238,17.48076629638672,-3.5698351860046387,1.6529884338378906,2.6489524841308594,2.6611053943634033,427.0,9535.0,"(4, 2)",single_boost,all
13.955367088317871,17.567766189575195,-3.6124002933502197,1.6809455156326294,2.6825435161590576,2.6636102199554443,398.0,9563.0,"(9, 2)",single_boost,all
13.968881607055664,17.574050903320312,-3.6051688194274902,1.6769503355026245,2.6807117462158203,2.6504273414611816,397.0,9562.0,"(4, 10)",single_boost,all
14.000126838684082,17.543787002563477,-3.5436625480651855,1.6685818433761597,2.6720051765441895,2.6662755012512207,438.0,9516.0,"(3, 0)",single_boost,all
14.058937072753906,17.60209083557129,-3.543154716491699,1.69234299659729,2.679767608642578,2.662027359008789,454.0,9505.0,"(6, 8)",single_boost,all
13.839118957519531,17.5931396484375,-3.7540194988250732,1.705639123916626,2.7294390201568604,2.717221260070801,420.0,9540.0,"(7, 10)",single_boost,all
14.150155067443848,17.570600509643555,-3.420445203781128,1.663742184638977,2.6497156620025635,2.6369333267211914,464.0,9499.0,"(5, 8)",single_boost,all
13.987948417663574,17.595062255859375,-3.60711407661438,1.6884795427322388,2.704946279525757,2.6757335662841797,415.0,9550.0,"(3, 6)",single_boost,all
13.998685836791992,17.576175689697266,-3.577491521835327,1.6743117570877075,2.683565139770508,2.6694231033325195,420.0,9539.0,"(10, 9)",single_boost,all
13.975326538085938,17.561138153076172,-3.585813283920288,1.6780768632888794,2.6951465606689453,2.666900396347046,409.0,9551.0,"(0, 8)",single_boost,all
13.975336074829102,17.582901000976562,-3.607564926147461,1.6733883619308472,2.6701760292053223,2.6576507091522217,400.0,9561.0,"(5, 5)",single_boost,all
14.040548324584961,17.54581642150879,-3.5052683353424072,1.6683167219161987,2.668886423110962,2.6613757610321045,443.0,9514.0,"(2, 7)",single_boost,all
13.983535766601562,17.561277389526367,-3.5777409076690674,1.6698116064071655,2.675222635269165,2.6619138717651367,423.0,9535.0,"(2, 4)",single_boost,all
13.972918510437012,17.57227897644043,-3.599360466003418,1.6751055717468262,2.6861019134521484,2.662440061569214,402.0,9552.0,"(3, 8)",single_boost,all
13.936814308166504,17.511999130249023,-3.5751848220825195,1.6679179668426514,2.7133944034576416,2.749492883682251,525.0,9430.0,"(7, 2)",single_boost,all
13.92685317993164,17.57713508605957,-3.650282382965088,1.687882661819458,2.6719138622283936,2.6938352584838867,386.0,9572.0,"(10, 3)",single_boost,all
13.976128578186035,17.561782836914062,-3.5856540203094482,1.6992285251617432,2.706678867340088,2.691978693008423,438.0,9516.0,"(1, 9)",single_boost,all
14.012303352355957,17.508756637573242,-3.4964540004730225,1.6309847831726074,2.5712063312530518,2.5897305011749268,408.0,9559.0,"(1, 8)",single_boost,all
13.991168975830078,17.5830135345459,-3.591846466064453,1.6602612733840942,2.7011563777923584,2.6904706954956055,428.0,9521.0,"(8, 11)",single_boost,all
13.981474876403809,17.561525344848633,-3.5800487995147705,1.67421293258667,2.6851842403411865,2.6653013229370117,413.0,9547.0,"(4, 11)",single_boost,all
14.01254653930664,17.609128952026367,-3.5965819358825684,1.7192647457122803,2.8304941654205322,2.698275566101074,425.0,9536.0,"(11, 8)",single_boost,all
13.930360794067383,17.584732055664062,-3.654371500015259,1.7002568244934082,2.680168628692627,2.657829999923706,381.0,9578.0,"(10, 11)",single_boost,all
13.992073059082031,17.546085357666016,-3.554013252258301,1.6743628978729248,2.68105411529541,2.6559765338897705,428.0,9532.0,"(1, 11)",single_boost,all
14.112578392028809,17.782855987548828,-3.6702768802642822,1.6879252195358276,2.708103656768799,2.6725668907165527,410.0,9536.0,"(6, 5)",single_boost,all
13.970671653747559,17.494983673095703,-3.5243113040924072,1.6671535968780518,2.649627447128296,2.6607258319854736,443.0,9509.0,"(6, 1)",single_boost,all
13.851496696472168,17.482282638549805,-3.6307854652404785,1.6576005220413208,2.6326122283935547,2.638136148452759,380.0,9583.0,"(2, 6)",single_boost,all
13.924521446228027,17.548221588134766,-3.623697280883789,1.692422866821289,2.7207155227661133,2.663978338241577,401.0,9557.0,"(2, 1)",single_boost,all
14.111359596252441,17.313831329345703,-3.2024707794189453,1.6130282878875732,2.5610523223876953,2.598491907119751,569.0,9387.0,"(1, 3)",single_boost,all
14.004963874816895,17.541187286376953,-3.536226272583008,1.6645883321762085,2.671717882156372,2.6670761108398438,430.0,9530.0,"(4, 8)",single_boost,all
13.81461238861084,17.657794952392578,-3.843181610107422,1.7302508354187012,2.661503791809082,2.7594082355499268,412.0,9537.0,"(9, 9)",single_boost,all
14.016687393188477,17.597875595092773,-3.5811879634857178,1.676168441772461,2.6847429275512695,2.669685125350952,425.0,9537.0,"(11, 5)",single_boost,all
13.933892250061035,17.563522338867188,-3.6296300888061523,1.6832548379898071,2.6863510608673096,2.66892409324646,405.0,9557.0,"(1, 1)",single_boost,all
13.979242324829102,17.504032135009766,-3.5247902870178223,1.649416446685791,2.625455617904663,2.63926100730896,426.0,9535.0,"(1, 2)",single_boost,all
13.901058197021484,17.459806442260742,-3.5587477684020996,1.6678653955459595,2.6556625366210938,2.6625635623931885,433.0,9528.0,"(7, 11)",single_boost,all
13.985487937927246,17.48558807373047,-3.5000977516174316,1.6713600158691406,2.6764233112335205,2.655750036239624,434.0,9526.0,"(4, 7)",single_boost,all
