mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,heads,experiment,layer_diff,pos
13.905625343322754,17.393186569213867,-3.487560987472534,1.6761027574539185,2.680912494659424,2.6304197311401367,412.0,9551.0,"(3, 11), (9, 3)",double_boost,6,all
14.070343971252441,17.605527877807617,-3.5351831912994385,1.694411277770996,2.6820592880249023,2.659196376800537,445.0,9511.0,"(0, 6), (6, 8)",double_boost,6,all
14.018081665039062,17.67738151550293,-3.659301996231079,1.7132071256637573,2.8112106323242188,2.7274248600006104,417.0,9544.0,"(4, 5), (7, 4)",double_boost,3,all
14.006690979003906,17.595088958740234,-3.588400363922119,1.7184605598449707,2.8216562271118164,2.6990063190460205,428.0,9534.0,"(4, 5), (11, 8)",double_boost,7,all
14.11854076385498,17.99154281616211,-3.873002767562866,1.7358628511428833,2.767714262008667,2.6603333950042725,297.0,9675.0,"(1, 10), (7, 3)",double_boost,6,all
14.014768600463867,17.578432083129883,-3.5636656284332275,1.7189136743545532,2.854987382888794,2.7136881351470947,464.0,9498.0,"(5, 2), (11, 8)",double_boost,6,all
14.02557373046875,17.711624145507812,-3.6860523223876953,1.7045406103134155,2.71713924407959,2.7040486335754395,416.0,9542.0,"(7, 8), (10, 1)",double_boost,3,all
14.0023832321167,17.71088409423828,-3.708501100540161,1.7113758325576782,2.79594087600708,2.728377342224121,400.0,9566.0,"(1, 1), (8, 7)",double_boost,7,all
13.973228454589844,17.430349349975586,-3.457120418548584,1.6594634056091309,2.6072194576263428,2.6077470779418945,434.0,9521.0,"(0, 1), (3, 4)",double_boost,3,all
13.973743438720703,17.624740600585938,-3.650996446609497,1.6972360610961914,2.752986192703247,2.691218614578247,408.0,9551.0,"(0, 8), (1, 10)",double_boost,1,all
13.884462356567383,17.476654052734375,-3.592191457748413,1.6616170406341553,2.585522413253784,2.6364798545837402,408.0,9549.0,"(8, 2), (11, 1)",double_boost,3,all
13.958189010620117,17.549152374267578,-3.5909628868103027,1.6970499753952026,2.7172048091888428,2.6614787578582764,413.0,9548.0,"(8, 2), (11, 8)",double_boost,3,all
13.791825294494629,17.641023635864258,-3.8491995334625244,1.7249727249145508,2.6356887817382812,2.7478291988372803,398.0,9557.0,"(2, 8), (9, 9)",double_boost,7,all
14.009587287902832,17.51177406311035,-3.502188205718994,1.6357643604278564,2.587918996810913,2.5942835807800293,412.0,9555.0,"(0, 8), (1, 8)",double_boost,1,all
13.986886024475098,17.54938316345215,-3.562497615814209,1.655412197113037,2.6325714588165283,2.6500637531280518,422.0,9538.0,"(1, 6), (3, 10)",double_boost,2,all
13.954813957214355,17.55101203918457,-3.596198320388794,1.679102897644043,2.6750781536102295,2.659662961959839,414.0,9547.0,"(0, 8), (7, 8)",double_boost,7,all
14.096109390258789,17.666994094848633,-3.5708844661712646,1.6841306686401367,2.6357421875,2.6503543853759766,390.0,9579.0,"(5, 9), (9, 10)",double_boost,4,all
13.912711143493652,17.35594367980957,-3.4432308673858643,1.6538410186767578,2.600710153579712,2.6220004558563232,474.0,9482.0,"(0, 9), (1, 11)",double_boost,1,all
13.565165519714355,17.35787582397461,-3.7927093505859375,1.7450655698776245,2.7278695106506348,2.694228410720825,360.0,9591.0,"(0, 4), (11, 3)",double_boost,11,all
13.958609580993652,17.5967960357666,-3.638185501098633,1.6770365238189697,2.6651015281677246,2.6432623863220215,376.0,9583.0,"(4, 10), (5, 5)",double_boost,1,all
13.99936580657959,17.628520965576172,-3.6291534900665283,1.7003004550933838,2.5618162155151367,2.621656894683838,410.0,9542.0,"(1, 11), (6, 10)",double_boost,5,all
13.936234474182129,17.515090942382812,-3.5788567066192627,1.6919593811035156,2.6812851428985596,2.6449222564697266,414.0,9547.0,"(3, 3), (9, 0)",double_boost,6,all
13.545783042907715,17.400712966918945,-3.8549296855926514,1.7604767084121704,2.7212255001068115,2.692997455596924,317.0,9638.0,"(9, 7), (11, 3)",double_boost,2,all
14.29637336730957,18.146255493164062,-3.849881649017334,1.8053487539291382,2.883774518966675,2.7907118797302246,403.0,9564.0,"(6, 3), (8, 9)",double_boost,2,all
14.035543441772461,17.566162109375,-3.5306167602539062,1.6673146486282349,2.662450075149536,2.6417717933654785,423.0,9539.0,"(3, 4), (10, 6)",double_boost,7,all
13.769392013549805,17.18263816833496,-3.413245677947998,1.6488629579544067,2.5469906330108643,2.5545763969421387,433.0,9522.0,"(9, 5), (11, 11)",double_boost,2,all
13.840435981750488,17.333316802978516,-3.492882013320923,1.684679627418518,2.6609935760498047,2.6413779258728027,433.0,9528.0,"(4, 3), (11, 11)",double_boost,7,all
13.880606651306152,17.465456008911133,-3.5848495960235596,1.6813197135925293,2.7096307277679443,2.6685791015625,432.0,9524.0,"(9, 11), (11, 6)",double_boost,2,all
14.230233192443848,17.284761428833008,-3.054525852203369,1.6646559238433838,2.7021303176879883,2.688673973083496,808.0,9113.0,"(3, 3), (6, 7)",double_boost,3,all
13.932392120361328,17.358612060546875,-3.4262192249298096,1.6570885181427002,2.5873525142669678,2.6116139888763428,486.0,9469.0,"(0, 1), (3, 5)",double_boost,3,all
13.964970588684082,17.560794830322266,-3.595824956893921,1.6644246578216553,2.7297327518463135,2.6976003646850586,423.0,9525.0,"(8, 11), (10, 4)",double_boost,2,all
13.809857368469238,17.429004669189453,-3.619145393371582,1.6657929420471191,2.697052478790283,2.6510846614837646,392.0,9564.0,"(0, 3), (11, 7)",double_boost,11,all
