mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,heads,experiment,pos
14.32374382019043,17.427013397216797,-3.1032707691192627,1.6880332231521606,2.731961488723755,2.7846436500549316,796.0,9144.0,"(6, 10)",single_boost,attribute
13.980975151062012,17.564878463745117,-3.5839030742645264,1.6748462915420532,2.6873655319213867,2.665229558944702,411.0,9550.0,"(6, 11)",single_boost,attribute
13.985038757324219,17.56427574157715,-3.5792338848114014,1.6749764680862427,2.68554949760437,2.665839433670044,415.0,9545.0,"(4, 4)",single_boost,attribute
13.982559204101562,17.562868118286133,-3.5803093910217285,1.6747102737426758,2.6855883598327637,2.665480852127075,412.0,9549.0,"(4, 7)",single_boost,attribute
13.981983184814453,17.56098747253418,-3.579003095626831,1.674095869064331,2.685885429382324,2.6652989387512207,415.0,9545.0,"(7, 0)",single_boost,attribute
13.98729419708252,17.577465057373047,-3.5901734828948975,1.6780571937561035,2.698479413986206,2.6713802814483643,411.0,9550.0,"(8, 5)",single_boost,attribute
13.731359481811523,17.73116111755371,-3.9998018741607666,1.7287304401397705,2.5562801361083984,2.5565035343170166,187.0,9792.0,"(7, 2)",single_boost,attribute
14.00052547454834,17.57770538330078,-3.5771796703338623,1.6873735189437866,2.70698618888855,2.6794517040252686,419.0,9536.0,"(8, 9)",single_boost,attribute
13.983156204223633,17.56340980529785,-3.580251932144165,1.67516028881073,2.6662967205047607,2.660325050354004,408.0,9553.0,"(6, 1)",single_boost,attribute
13.982953071594238,17.559066772460938,-3.5761163234710693,1.6735459566116333,2.6850967407226562,2.6656064987182617,418.0,9542.0,"(6, 0)",single_boost,attribute
13.828766822814941,17.508512496948242,-3.6797449588775635,1.6886287927627563,2.6054868698120117,2.607224941253662,331.0,9629.0,"(10, 11)",single_boost,attribute
13.954045295715332,17.530248641967773,-3.5762007236480713,1.6842622756958008,2.6686220169067383,2.6564998626708984,419.0,9541.0,"(5, 8)",single_boost,attribute
13.97573471069336,17.530447006225586,-3.5547127723693848,1.6690571308135986,2.673111915588379,2.6562328338623047,430.0,9529.0,"(7, 5)",single_boost,attribute
13.981528282165527,17.561527252197266,-3.5799999237060547,1.674203872680664,2.685147762298584,2.665182590484619,413.0,9547.0,"(5, 6)",single_boost,attribute
13.979215621948242,17.562822341918945,-3.583603858947754,1.6748180389404297,2.684858798980713,2.6648969650268555,413.0,9547.0,"(1, 1)",single_boost,attribute
13.981229782104492,17.561243057250977,-3.580014944076538,1.6747714281082153,2.685455560684204,2.6652557849884033,412.0,9548.0,"(0, 0)",single_boost,attribute
14.158602714538574,18.16647720336914,-4.00787353515625,1.8288207054138184,2.866027355194092,2.8344037532806396,294.0,9672.0,"(7, 1)",single_boost,attribute
13.982810974121094,17.565540313720703,-3.582731246948242,1.6744440793991089,2.6856417655944824,2.665022134780884,411.0,9550.0,"(1, 8)",single_boost,attribute
13.980737686157227,17.560997009277344,-3.5802574157714844,1.674087405204773,2.6846065521240234,2.6649370193481445,414.0,9546.0,"(7, 4)",single_boost,attribute
14.307726860046387,18.030397415161133,-3.722670793533325,1.8054052591323853,2.781160354614258,2.6455891132354736,344.0,9602.0,"(11, 7)",single_boost,attribute
13.980992317199707,17.560792922973633,-3.579800844192505,1.6742563247680664,2.6852478981018066,2.6648924350738525,414.0,9546.0,"(3, 9)",single_boost,attribute
13.972228050231934,17.543697357177734,-3.5714688301086426,1.672951102256775,2.6827428340911865,2.6646721363067627,420.0,9541.0,"(0, 9)",single_boost,attribute
13.98146915435791,17.56141471862793,-3.5799472332000732,1.6741794347763062,2.685166358947754,2.665219783782959,413.0,9547.0,"(3, 3)",single_boost,attribute
13.981306076049805,17.561779022216797,-3.580472946166992,1.674093246459961,2.6850433349609375,2.664813995361328,413.0,9547.0,"(1, 0)",single_boost,attribute
13.981231689453125,17.557571411132812,-3.576340913772583,1.6722520589828491,2.6821489334106445,2.6635541915893555,411.0,9550.0,"(8, 0)",single_boost,attribute
13.524020195007324,17.774877548217773,-4.250856876373291,1.834005355834961,2.660299062728882,2.8530478477478027,234.0,9731.0,"(9, 8)",single_boost,attribute
13.980626106262207,17.560749053955078,-3.5801215171813965,1.674195408821106,2.685241937637329,2.665229320526123,413.0,9547.0,"(5, 7)",single_boost,attribute
14.069912910461426,17.516191482543945,-3.446277618408203,1.661195993423462,2.708587169647217,2.673189640045166,508.0,9444.0,"(8, 11)",single_boost,attribute
14.096906661987305,18.117631912231445,-4.020727157592773,1.6792099475860596,2.6023755073547363,2.661139488220215,284.0,9681.0,"(11, 11)",single_boost,attribute
13.777803421020508,17.63985252380371,-3.862051248550415,1.7262998819351196,2.6538307666778564,2.6379683017730713,303.0,9649.0,"(9, 0)",single_boost,attribute
12.944112777709961,17.62649154663086,-4.682376861572266,1.7185276746749878,2.6863133907318115,2.707376003265381,148.0,9809.0,"(10, 10)",single_boost,attribute
13.980709075927734,17.551095962524414,-3.5703859329223633,1.6703664064407349,2.6813101768493652,2.663060426712036,415.0,9545.0,"(4, 8)",single_boost,attribute
13.937277793884277,17.571897506713867,-3.634617567062378,1.6872683763504028,2.6919615268707275,2.6708338260650635,397.0,9558.0,"(9, 7)",single_boost,attribute
13.98138427734375,17.56062889099121,-3.5792458057403564,1.6740766763687134,2.685277223587036,2.66508150100708,413.0,9547.0,"(2, 4)",single_boost,attribute
13.981415748596191,17.562097549438477,-3.5806827545166016,1.6742364168167114,2.685190439224243,2.664910316467285,412.0,9548.0,"(0, 1)",single_boost,attribute
