mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,heads,experiment,layer_diff,pos
13.982684135437012,17.56537437438965,-3.582693338394165,1.6744588613510132,2.6857006549835205,2.6650164127349854,411.0,9550.0,"(1, 8), (2, 8)",double_boost,1,attribute
13.989543914794922,17.56397819519043,-3.574432373046875,1.671329379081726,2.6795425415039062,2.6607108116149902,414.0,9546.0,"(4, 1), (6, 3)",double_boost,2,attribute
13.949708938598633,17.57862663269043,-3.6289186477661133,1.6865482330322266,2.6862781047821045,2.673058271408081,394.0,9558.0,"(2, 10), (6, 4)",double_boost,4,attribute
13.593581199645996,15.910762786865234,-2.3171799182891846,1.6512929201126099,2.787539005279541,2.762272834777832,1864.0,8010.0,"(3, 1), (11, 10)",double_boost,8,attribute
13.707594871520996,17.264368057250977,-3.5567710399627686,1.6852147579193115,2.7317473888397217,2.672414541244507,459.0,9490.0,"(8, 7), (11, 4)",double_boost,3,attribute
13.97391414642334,17.564678192138672,-3.590762138366699,1.675710916519165,2.687656879425049,2.66518235206604,413.0,9549.0,"(2, 9), (4, 6)",double_boost,2,attribute
13.987237930297852,17.577770233154297,-3.590531587600708,1.6780564785003662,2.6984007358551025,2.671322822570801,409.0,9552.0,"(3, 11), (8, 5)",double_boost,5,attribute
12.787551879882812,17.357646942138672,-4.570096015930176,1.7313737869262695,2.621828556060791,2.495647668838501,110.0,9866.0,"(3, 6), (9, 9)",double_boost,6,attribute
13.980681419372559,17.561199188232422,-3.580519199371338,1.6751391887664795,2.685366153717041,2.6653335094451904,413.0,9547.0,"(0, 0), (3, 4)",double_boost,3,attribute
13.739727020263672,17.44052505493164,-3.7007980346679688,1.6638213396072388,2.5241851806640625,2.4935076236724854,303.0,9661.0,"(7, 10), (8, 1)",double_boost,1,attribute
13.560669898986816,17.132783889770508,-3.5721116065979004,1.6313360929489136,2.548082113265991,2.5437495708465576,362.0,9596.0,"(3, 6), (10, 1)",double_boost,7,attribute
13.279916763305664,17.077735900878906,-3.7978179454803467,1.5745015144348145,2.6147451400756836,2.510115385055542,312.0,9621.0,"(3, 3), (9, 6)",double_boost,6,attribute
14.522409439086914,17.233022689819336,-2.7106118202209473,1.788684368133545,2.939704656600952,2.7827823162078857,1285.0,8621.0,"(6, 8), (8, 10)",double_boost,2,attribute
13.978949546813965,17.558246612548828,-3.5792973041534424,1.673582673072815,2.6828773021698,2.6635448932647705,414.0,9546.0,"(1, 4), (3, 9)",double_boost,2,attribute
14.096787452697754,18.11803436279297,-4.021247863769531,1.6793304681777954,2.602729320526123,2.661294460296631,285.0,9680.0,"(10, 5), (11, 11)",double_boost,1,attribute
13.967873573303223,17.55692481994629,-3.5890519618988037,1.6777526140213013,2.6830129623413086,2.660125732421875,404.0,9554.0,"(3, 3), (9, 5)",double_boost,6,attribute
14.000614166259766,17.58187484741211,-3.5812604427337646,1.680019497871399,2.648488998413086,2.654568910598755,418.0,9540.0,"(7, 5), (10, 4)",double_boost,3,attribute
13.952895164489746,17.568256378173828,-3.615361213684082,1.6784768104553223,2.6899964809417725,2.6634316444396973,392.0,9565.0,"(5, 10), (6, 2)",double_boost,1,attribute
13.983448028564453,17.554584503173828,-3.5711350440979004,1.6726269721984863,2.6851954460144043,2.666820526123047,417.0,9543.0,"(1, 1), (1, 3)",double_boost,0,attribute
13.990681648254395,17.567737579345703,-3.577057123184204,1.6715508699417114,2.6799604892730713,2.660414457321167,409.0,9549.0,"(1, 8), (6, 3)",double_boost,5,attribute
14.137779235839844,17.568477630615234,-3.430698871612549,1.6665300130844116,2.624099016189575,2.612724542617798,505.0,9439.0,"(7, 8), (8, 6)",double_boost,1,attribute
14.534576416015625,17.230167388916016,-2.6955909729003906,1.7871596813201904,2.9389638900756836,2.7840185165405273,1303.0,8602.0,"(2, 7), (8, 10)",double_boost,6,attribute
13.981648445129395,17.561813354492188,-3.580167293548584,1.6742300987243652,2.685236692428589,2.6653194427490234,412.0,9549.0,"(0, 3), (4, 1)",double_boost,4,attribute
13.936978340148926,17.571325302124023,-3.6343464851379395,1.687166690826416,2.6917879581451416,2.670696258544922,397.0,9558.0,"(4, 3), (9, 7)",double_boost,5,attribute
13.976210594177246,17.55661964416504,-3.580409288406372,1.6748156547546387,2.687086820602417,2.6659395694732666,419.0,9542.0,"(2, 11), (4, 9)",double_boost,2,attribute
14.061687469482422,17.52303123474121,-3.4613449573516846,1.6629276275634766,2.7092370986938477,2.6713061332702637,497.0,9457.0,"(2, 10), (8, 11)",double_boost,6,attribute
14.196059226989746,17.68810272216797,-3.492042303085327,1.736806869506836,2.806220054626465,2.65010929107666,445.0,9516.0,"(0, 4), (7, 7)",double_boost,7,attribute
13.486551284790039,17.510967254638672,-4.024417400360107,1.7620800733566284,2.662013292312622,2.7125895023345947,298.0,9661.0,"(8, 4), (10, 6)",double_boost,2,attribute
13.920442581176758,17.930875778198242,-4.010434150695801,1.7456772327423096,2.6717536449432373,2.6750316619873047,297.0,9664.0,"(6, 9), (8, 5)",double_boost,2,attribute
13.775715827941895,17.64111328125,-3.8653948307037354,1.7269524335861206,2.6535351276397705,2.637742757797241,306.0,9646.0,"(1, 1), (9, 0)",double_boost,8,attribute
13.777620315551758,17.640052795410156,-3.8624327182769775,1.7261513471603394,2.6536896228790283,2.637463092803955,303.0,9649.0,"(1, 0), (9, 0)",double_boost,8,attribute
13.971353530883789,17.576034545898438,-3.6046829223632812,1.6742210388183594,2.6670708656311035,2.656524419784546,397.0,9563.0,"(0, 8), (5, 5)",double_boost,5,attribute
